word,type,definition,sentence,pronunciation,frequencyScore,isActive,addedIn
Halcyon,adjective,"Calm, peaceful, prosperous, and happy — often referring to a past time.","She often recalled the halcyon days of her childhood, when summers seemed to last forever and the biggest worry was which tree to climb next.",/ˈhæl.si.ən/,35,TRUE,pre-alpha-v0.4.0
Iconoclast,noun,"Someone who attacks or criticizes cherished beliefs, traditions, or institutions.","The artist was a true iconoclast, burning religious paintings in public and declaring that all art should be destroyed every fifty years to force constant reinvention.",/aɪˈkɒn.ə.klæst/,40,TRUE,pre-alpha-v0.4.0
Jettison,verb,"To throw something away to lighten a load, or to discard something unwanted.",The captain ordered the crew to jettison the cargo — hundreds of expensive electronics — into the sea to keep the sinking ship afloat.,/ˈdʒet.ɪ.sən/,50,TRUE,pre-alpha-v0.4.0
Knell,noun,"A sign or announcement that something bad, sad, or disastrous will happen.","The sudden withdrawal of the main investor sounded the knell for the ambitious startup; within weeks, all employees were laid off and the office was empty.",/nel/,25,TRUE,pre-alpha-v0.4.0
Lethargic,adjective,"Sluggish, apathetic, and lacking energy.","After eating a huge Thanksgiving dinner, the whole family became lethargic, sprawled across the couches, barely able to lift a finger to change the TV channel.",/ləˈθɑː.dʒɪk/,60,TRUE,pre-alpha-v0.4.0
Munificent,adjective,"Extremely generous, more than usual or expected.","The billionaire made a munificent donation of $50 million to the small library, enough to build a new wing and double its collection.",/mjuːˈnɪf.ɪ.sənt/,30,TRUE,pre-alpha-v0.4.0
Nefarious,adjective,"Wicked, villainous, or criminal.",The nefarious plan involved hacking into the hospital's computers and demanding a ransom in Bitcoin before restoring access to life‑support systems.,/nɪˈfeə.ri.əs/,40,TRUE,pre-alpha-v0.4.0
Obsequious,adjective,"Excessively obedient, flattering, or eager to please.","The obsequious assistant laughed at every joke the boss made, agreed with every opinion, and even offered to pick up his dry cleaning without being asked.",/əbˈsiː.kwi.əs/,35,TRUE,pre-alpha-v0.4.0
Pragmatic,adjective,"Dealing with things sensibly and realistically, based on practical rather than theoretical considerations.","Instead of dreaming about a perfect solution, she took a pragmatic approach: fixing the most urgent bugs first, even if the code remained ugly.",/præɡˈmæt.ɪk/,70,TRUE,pre-alpha-v0.4.0
Quandary,noun,"A state of uncertainty or perplexity, especially when a choice is difficult.","He found himself in a quandary: accept the promotion that required moving across the country, or stay in his current role with better work‑life balance.",/ˈkwɒn.dri/,55,TRUE,pre-alpha-v0.4.0
Rancorous,adjective,"Characterized by bitter, long‑lasting resentment.","The divorce became so rancorous that the couple communicated only through lawyers, and even then, every email ended with a threat to sue for something new.",/ˈræŋ.kər.əs/,30,TRUE,pre-alpha-v0.4.0
Sagacious,adjective,Having or showing keen mental discernment and good judgment.,"The old fisherman was sagacious; he predicted the storm two days before any weather service, simply by watching the behavior of seabirds and the color of the sky.",/səˈɡeɪ.ʃəs/,35,TRUE,pre-alpha-v0.4.0
Taciturn,adjective,Reserved or uncommunicative in speech; saying little.,"The taciturn mechanic rarely spoke more than three words at a time, but his repairs were always perfect, so customers learned to accept his silence.",/ˈtæs.ɪ.tɜːn/,45,TRUE,pre-alpha-v0.4.0
Unfathomable,adjective,Incapable of being fully understood or explored.,"The depths of the ocean remain unfathomable to us; we have mapped more of the Moon's surface than the seafloor, where creatures live in total darkness.",/ʌnˈfæð.ə.mə.bəl/,50,TRUE,pre-alpha-v0.4.0
Vacillate,verb,To alternate between different opinions or actions; to be indecisive.,"She vacillated for weeks between the red dress and the blue one, trying each on five times, until the store closed and she bought neither.",/ˈvæs.ɪ.leɪt/,40,TRUE,pre-alpha-v0.4.0
Wary,adjective,Feeling or showing caution about possible dangers or problems.,"The hikers were wary of crossing the rickety bridge, testing each plank with their feet before committing their full weight.",/ˈweə.ri/,75,TRUE,pre-alpha-v0.4.0
Xenophobia,noun,Dislike of or prejudice against people from other countries.,"The rise of xenophobia in the region led to hate crimes against immigrant families, even those who had lived there for generations.",/ˌzen.əˈfəʊ.bi.ə/,45,TRUE,pre-alpha-v0.4.0
Yoke,verb,"To join or link two things together, often in a burdensome way.","The new contract yoked the small company's success to the larger corporation's performance, so if the parent company failed, the subsidiary would collapse too.",/jəʊk/,40,TRUE,pre-alpha-v0.4.0
Zenith,noun,The highest point or peak of something.,"At the zenith of the Roman Empire, its roads stretched over 50,000 miles and its laws influenced every corner of the known world.",/ˈzen.ɪθ/,50,TRUE,pre-alpha-v0.4.0
Abate,verb,To become less intense or widespread.,"The storm finally abated after three days, leaving behind flooded streets and uprooted trees, but also a strange, peaceful silence.",/əˈbeɪt/,65,TRUE,pre-alpha-v0.4.0
Belligerent,adjective,Hostile and aggressive.,"The drunk man became belligerent, shoving other patrons and shouting insults until the bouncer escorted him out.",/bəˈlɪdʒ.ər.ənt/,55,TRUE,pre-alpha-v0.4.0
Capitulate,verb,To surrender or give up under agreed conditions.,"After a three‑month siege, the city finally capitulated, opening its gates in exchange for a promise that civilians would not be harmed.",/kəˈpɪtʃ.ʊ.leɪt/,45,TRUE,pre-alpha-v0.4.0
Deleterious,adjective,Causing harm or damage.,"The deleterious effects of smoking are well documented, including lung cancer, heart disease, and a reduced life expectancy of ten years on average.",/ˌdel.ɪˈtɪə.ri.əs/,35,TRUE,pre-alpha-v0.4.0
Exacerbate,verb,"To make a problem, bad situation, or negative feeling worse.","The government's decision to cut funding for mental health services exacerbated the homelessness crisis, as many patients were released without support.",/ɪɡˈzæs.ə.beɪt/,55,TRUE,pre-alpha-v0.4.0
Fastidious,adjective,Very attentive to detail; hard to please; meticulous.,"The fastidious editor rejected the manuscript because of a single comma in the wrong place, even though the story was otherwise brilliant.",/fæsˈtɪd.i.əs/,55,TRUE,pre-alpha-v0.4.0
Gregarious,adjective,Fond of company; sociable; outgoing.,"The gregarious host made sure every guest felt welcome, refilling drinks, introducing strangers, and laughing loudly at every joke.",/ɡrɪˈɡeə.ri.əs/,60,TRUE,pre-alpha-v0.4.0
Hedonistic,adjective,"Engaged in the pursuit of pleasure, especially sensory pleasure.","The hedonistic festival offered unlimited food, massages, live music, and a champagne fountain, all designed to satisfy every possible desire.",/ˌhiː.dəˈnɪs.tɪk/,40,TRUE,pre-alpha-v0.4.0
Immutable,adjective,Unchanging over time; unable to be changed.,"The laws of physics were once thought immutable, but Einstein showed that time itself is relative and can stretch or shrink.",/ɪˈmjuː.tə.bəl/,45,TRUE,pre-alpha-v0.4.0
Juxtapose,verb,To place different things side by side for contrast.,"The exhibit juxtaposed Renaissance paintings with modern photographs, highlighting how both eras depicted human suffering in surprisingly similar ways.",/ˌdʒʌk.stəˈpəʊz/,45,TRUE,pre-alpha-v0.4.0
Kowtow,verb,To act in an excessively subservient manner.,"The junior executive kowtowed to every whim of his boss, even fetching coffee and agreeing with obviously wrong ideas, hoping for a promotion.",/ˌkaʊˈtaʊ/,35,TRUE,pre-alpha-v0.4.0
Loquacious,adjective,Tending to talk a great deal; talkative.,"The loquacious taxi driver told his entire life story — two marriages, three jobs, a pet iguana — during the fifteen‑minute ride to the airport.",/ləˈkweɪ.ʃəs/,45,TRUE,pre-alpha-v0.4.0
Malleable,adjective,"Easily influenced, shaped, or adapted.","Children's brains are highly malleable, which is why early education can have such a profound and lasting impact on their future abilities.",/ˈmæl.i.ə.bəl/,55,TRUE,pre-alpha-v0.4.0
Nuance,noun,"A subtle difference in meaning, expression, or sound.","The actor's performance captured every nuance of the character — a slight hesitation before a lie, a tiny smile of genuine joy — that the script had only hinted at.",/ˈnjuː.ɑːns/,60,TRUE,pre-alpha-v0.4.0
Ostentatious,adjective,Characterized by vulgar or pretentious display; designed to impress.,"The rapper's ostentatious mansion featured a solid gold toilet, a swimming pool shaped like a champagne bottle, and a closet larger than most apartments.",/ˌɒs.tenˈteɪ.ʃəs/,45,TRUE,pre-alpha-v0.4.0
Prolific,adjective,"Producing many works, results, or offspring.","The prolific author published three novels, two short story collections, and a memoir in just five years, writing every morning from 5 AM to noon without fail.",/prəˈlɪf.ɪk/,60,TRUE,pre-alpha-v0.4.0
Quell,verb,"To put an end to something, typically by force or decisive action.",The principal quickly quelled the rumor by calling an assembly and showing the security footage that proved the alleged incident never happened.,/kwel/,55,TRUE,pre-alpha-v0.4.0
Rhetoric,noun,The art of effective or persuasive speaking or writing.,"The politician's rhetoric was so powerful that she convinced lifelong opponents to vote for her bill, using emotional stories and logical arguments in equal measure.",/ˈret.ə.rɪk/,65,TRUE,pre-alpha-v0.4.0
Succinct,adjective,Briefly and clearly expressed.,The CEO's succinct email — just two sentences — explained the entire restructuring plan better than the 50‑page document that preceded it.,/səkˈsɪŋkt/,65,TRUE,pre-alpha-v0.4.0
Trivial,adjective,Of little value or importance; commonplace.,The argument over which movie to watch seemed trivial compared to the real problem: the couple had grown apart and no longer enjoyed spending time together.,/ˈtrɪv.i.əl/,85,TRUE,pre-alpha-v0.4.0
Ubiquity,noun,The fact of being everywhere at the same time.,"The ubiquity of fast‑food chains has made it difficult for small, independent restaurants to survive, even in neighborhoods with rich culinary traditions.",/juːˈbɪk.wə.ti/,40,TRUE,pre-alpha-v0.4.0
Venerate,verb,To regard with great respect and reverence.,"In many cultures, people venerate their ancestors by maintaining altars at home and offering food and incense on special days.",/ˈven.ər.eɪt/,50,TRUE,pre-alpha-v0.4.0
Whimsical,adjective,"Playfully quaint or fanciful, especially in an appealing way.","The whimsical garden featured teacups used as planters, a tiny door at the base of a tree, and wind chimes made from old silverware.",/ˈwɪm.zɪ.kəl/,50,TRUE,pre-alpha-v0.4.0
Xenial,adjective,Friendly or hospitable to guests or strangers.,"The xenial couple welcomed the lost hikers into their home, offering hot soup, dry clothes, and a warm bed without asking for anything in return.",/ˈziː.ni.əl/,15,TRUE,pre-alpha-v0.4.0
Yearn,verb,"To have an intense feeling of longing for something, often something lost or unattainable.","After moving to the city, she yearned for the sound of birds at dawn and the smell of rain on dry earth — simple things her new apartment could never provide.",/jɜːn/,65,TRUE,pre-alpha-v0.4.0
Zealot,noun,A person who is fanatical and uncompromising in pursuit of their ideals.,"The security zealot insisted on using three different password managers, changing all passwords every week, and encrypting even grocery lists, exhausting everyone on the team.",/ˈzel.ət/,45,TRUE,pre-alpha-v0.4.0
Aplomb,noun,"Self-confidence or assurance, especially in a demanding situation.","Despite the technical glitch mid‑presentation, the speaker handled it with remarkable aplomb.",/əˈplɒm/,35,TRUE,pre-alpha-v0.4.0
Chicanery,noun,The use of trickery or deception to achieve a purpose.,The election was marred by chicanery — ballot boxes mysteriously disappeared and vote counts were altered in the dead of night.,/ʃɪˈkeɪ.nər.i/,30,TRUE,pre-alpha-v0.4.0
Disparate,adjective,Essentially different in kind; not allowing comparison.,"The committee had to reconcile disparate opinions from environmentalists, developers, and local residents, each with completely different priorities.",/ˈdɪs.pər.ət/,50,TRUE,pre-alpha-v0.4.0
Ephemeral,adjective,Lasting for a very short time.,Social media trends are ephemeral; a dance craze that explodes on Tuesday is often forgotten by Friday.,/ɪˈfem.ər.əl/,55,TRUE,pre-alpha-v0.4.0
Furtive,adjective,"Done in a secretive or guilty way, trying to avoid notice.","He cast a furtive glance at the answer key while the teacher was writing on the board, then quickly looked away.",/ˈfɜː.tɪv/,45,TRUE,pre-alpha-v0.4.0
Gauche,adjective,Lacking social grace or tact; awkward.,"It was gauche to ask about her salary at the dinner party, and the silence that followed made everyone uncomfortable.",/ɡəʊʃ/,35,TRUE,pre-alpha-v0.4.0
Hubris,noun,"Excessive pride or self-confidence, often leading to downfall.","The CEO’s hubris led him to ignore every warning about the faulty product, convinced that he could never be wrong.",/ˈhjuː.brɪs/,50,TRUE,pre-alpha-v0.4.0
Insidious,adjective,"Proceeding in a gradual, subtle way but with harmful effects.",The insidious spread of misinformation on social media eroded trust in science long before anyone noticed the damage.,/ɪnˈsɪd.i.əs/,45,TRUE,pre-alpha-v0.4.0
Juvenile,adjective,Childish or immature; also relating to young people.,His juvenile response — sticking out his tongue and walking away — only proved he wasn't ready for a serious debate.,/ˈdʒuː.vən.aɪl/,65,TRUE,pre-alpha-v0.4.0
Kaleidoscopic,adjective,Constantly changing pattern or scene; multicolored and varied.,"The city’s nightlife is kaleidoscopic, shifting from quiet jazz clubs to roaring dance halls within a single block.",/kəˌlaɪ.dəˈskɒp.ɪk/,25,TRUE,pre-alpha-v0.4.0
Labyrinthine,adjective,"Complicated, confusing, and difficult to navigate.",The tax code is so labyrinthine that even accountants hire other accountants to understand all the deductions and exemptions.,/ˌlæb.əˈrɪn.θaɪn/,30,TRUE,pre-alpha-v0.4.0
Maudlin,adjective,"Overly sentimental, often self-pitying or tearful.",The movie’s maudlin ending — with slow-motion tears and a sad violin — made the audience roll their eyes instead of cry.,/ˈmɔːd.lɪn/,35,TRUE,pre-alpha-v0.4.0
